cellMarker,shortname
TCIM,Endothelial Cell
GARRE1,Endothelial Cell
ACER2,Endothelial Cell
ACVRL1,Endothelial Cell
ADAM15,Endothelial Cell
ADAMTS5,Endothelial Cell
ADGRL2,Endothelial Cell
ADGRL4,Endothelial Cell
AMOTL1,Endothelial Cell
APBB2,Endothelial Cell
AQP1,Endothelial Cell
ARGLU1,Endothelial Cell
ARHGAP31,Endothelial Cell
ARHGEF15,Endothelial Cell
ARID5B,Endothelial Cell
ATP13A3,Endothelial Cell
AU021092,Endothelial Cell
BMPR2,Endothelial Cell
BVHT,Endothelial Cell
CALCRL,Endothelial Cell
CALD1,Endothelial Cell
CASKIN2,Endothelial Cell
CCDC85B,Endothelial Cell
CD200,Endothelial Cell
CD24A,Endothelial Cell
CD300LG,Endothelial Cell
CD34,Endothelial Cell
CD38,Endothelial Cell
CD93,Endothelial Cell
CDC42EP2,Endothelial Cell
CDH5,Endothelial Cell
CDKN1A,Endothelial Cell
CLDN15,Endothelial Cell
CLEC14A,Endothelial Cell
CLEC1A,Endothelial Cell
CLEC2D,Endothelial Cell
CLIC4,Endothelial Cell
CMTM8,Endothelial Cell
COL15A1,Endothelial Cell
COL4A1,Endothelial Cell
COL4A2,Endothelial Cell
CRACR2B,Endothelial Cell
CRIP2,Endothelial Cell
CTLA2A,Endothelial Cell
CX3CL1,Endothelial Cell
CYP20A1,Endothelial Cell
CYYR1,Endothelial Cell
DDAH2,Endothelial Cell
DDIT4L,Endothelial Cell
DKK2,Endothelial Cell
DLC1,Endothelial Cell
DLL4,Endothelial Cell
DOCK6,Endothelial Cell
DRAM1,Endothelial Cell
DUSP3,Endothelial Cell
ECE1,Endothelial Cell
ECSCR,Endothelial Cell
EDNRB,Endothelial Cell
EFNA1,Endothelial Cell
EFNB2,Endothelial Cell
EGFL7,Endothelial Cell
EHD3,Endothelial Cell
ELK3,Endothelial Cell
EMCN,Endothelial Cell
ENG,Endothelial Cell
ENHO,Endothelial Cell
EPAS1,Endothelial Cell
EPHB4,Endothelial Cell
ESAM,Endothelial Cell
EVA1B,Endothelial Cell
EXOC3L2,Endothelial Cell
F2R,Endothelial Cell
F8,Endothelial Cell
FABP4,Endothelial Cell
FAM110A,Endothelial Cell
FAM117B,Endothelial Cell
FAM167B,Endothelial Cell
FAS,Endothelial Cell
FGD5,Endothelial Cell
FKBP1A,Endothelial Cell
FLT1,Endothelial Cell
GALNT18,Endothelial Cell
GCHFR,Endothelial Cell
GIMAP5,Endothelial Cell
GIMAP6,Endothelial Cell
GJA4,Endothelial Cell
GNG11,Endothelial Cell
GPIHBP1,Endothelial Cell
GRASP,Endothelial Cell
GRRP1,Endothelial Cell
GSTM1,Endothelial Cell
HECW2,Endothelial Cell
HEG1,Endothelial Cell
HSPB1,Endothelial Cell
HSPG2,Endothelial Cell
HYAL2,Endothelial Cell
ICAM2,Endothelial Cell
ID1,Endothelial Cell
ID3,Endothelial Cell
IFI44,Endothelial Cell
IGFBP5,Endothelial Cell
IMPDH1,Endothelial Cell
ITGA6,Endothelial Cell
ITPKB,Endothelial Cell
JAM3,Endothelial Cell
JUP,Endothelial Cell
KANK3,Endothelial Cell
KCTD12B,Endothelial Cell
KDR,Endothelial Cell
KLF7,Endothelial Cell
LDB2,Endothelial Cell
LGALS9,Endothelial Cell
LIFR,Endothelial Cell
LIMCH1,Endothelial Cell
LIMS2,Endothelial Cell
LMO2,Endothelial Cell
LRRC8A,Endothelial Cell
LRRC8C,Endothelial Cell
LTBP1,Endothelial Cell
LY6C1,Endothelial Cell
MARCKSL1,Endothelial Cell
MEIS2,Endothelial Cell
MGLL,Endothelial Cell
MMRN2,Endothelial Cell
MXD4,Endothelial Cell
MYCT1,Endothelial Cell
MYO1C,Endothelial Cell
NOSTRIN,Endothelial Cell
NOTCH1,Endothelial Cell
NPDC1,Endothelial Cell
NRP1,Endothelial Cell
OAZ2,Endothelial Cell
PBX1,Endothelial Cell
PCDH17,Endothelial Cell
PDE2A,Endothelial Cell
PDGFB,Endothelial Cell
PECAM1,Endothelial Cell
PI16,Endothelial Cell
PLAT,Endothelial Cell
PLCB1,Endothelial Cell
PLK2,Endothelial Cell
PLPP1,Endothelial Cell
PLPP3,Endothelial Cell
PLSCR1,Endothelial Cell
PLSCR2,Endothelial Cell
PLSCR4,Endothelial Cell
POLR3GL,Endothelial Cell
PREX2,Endothelial Cell
PTPRB,Endothelial Cell
PTPRG,Endothelial Cell
RAMP2,Endothelial Cell
RAMP3,Endothelial Cell
RAPGEF4,Endothelial Cell
RAPH1,Endothelial Cell
RASGRP3,Endothelial Cell
RASIP1,Endothelial Cell
RBMS1,Endothelial Cell
RDX,Endothelial Cell
RHOB,Endothelial Cell
RHOC,Endothelial Cell
RHOJ,Endothelial Cell
RSAD2,Endothelial Cell
S100A16,Endothelial Cell
S1PR1,Endothelial Cell
SASH1,Endothelial Cell
SEMA6A,Endothelial Cell
SERPINH1,Endothelial Cell
SGK1,Endothelial Cell
SH3BP5,Endothelial Cell
SHE,Endothelial Cell
SLC43A3,Endothelial Cell
SLC6A6,Endothelial Cell
SLCO2A1,Endothelial Cell
SLFN5,Endothelial Cell
SMAD6,Endothelial Cell
SNCG,Endothelial Cell
SNRK,Endothelial Cell
SOX17,Endothelial Cell
SOX18,Endothelial Cell
SPARCL1,Endothelial Cell
SPTBN1,Endothelial Cell
STMN2,Endothelial Cell
SULT1A1,Endothelial Cell
SYPL,Endothelial Cell
TBX3,Endothelial Cell
TCF4,Endothelial Cell
TEK,Endothelial Cell
TGFBR2,Endothelial Cell
THBD,Endothelial Cell
TIE1,Endothelial Cell
TIMP3,Endothelial Cell
TINAGL1,Endothelial Cell
TMBIM1,Endothelial Cell
TMEM204,Endothelial Cell
TMEM26,Endothelial Cell
TMEM88,Endothelial Cell
TNFAIP1,Endothelial Cell
TRIM47,Endothelial Cell
TSPAN7,Endothelial Cell
UNC45B,Endothelial Cell
USHBP1,Endothelial Cell
VDAC3,Endothelial Cell
XIAP,Endothelial Cell
ZEB1,Endothelial Cell
1110065P20RIK,Podocyte
1810037I17RIK,Podocyte
2810433D01RIK,Podocyte
AAMP,Podocyte
ABCA2,Podocyte
ACPP,Podocyte
ACTN4,Podocyte
ADCY1,Podocyte
ADM,Podocyte
AEBP1,Podocyte
AK1,Podocyte
ANGPTL2,Podocyte
ANXA3,Podocyte
APLP1,Podocyte
ARAF,Podocyte
ARHGAP28,Podocyte
ARHGEF16,Podocyte
ARHGEF17,Podocyte
ARHGEF18,Podocyte
ARL2,Podocyte
ARL4D,Podocyte
ARVCF,Podocyte
B3GALT2,Podocyte
BCAM,Podocyte
C1QTNF1,Podocyte
C1QTNF7,Podocyte
CADM4,Podocyte
CALM2,Podocyte
CARD10,Podocyte
CD151,Podocyte
CD2AP,Podocyte
CD59A,Podocyte
CD59B,Podocyte
CD81,Podocyte
CDC14A,Podocyte
CDKN1C,Podocyte
CHST1,Podocyte
CLDN5,Podocyte
CLIC3,Podocyte
CLIC5,Podocyte
CMTM7,Podocyte
COL1A2,Podocyte
COL4A3,Podocyte
COL4A4,Podocyte
COL4A5,Podocyte
COMMD6,Podocyte
CORO2B,Podocyte
CPQ,Podocyte
CRB2,Podocyte
CREB3L2,Podocyte
CRTC1,Podocyte
CRYAB,Podocyte
CTNNAL1,Podocyte
CTSL,Podocyte
CTTNBP2,Podocyte
