geneSymbol,shortname
Aldh1a3,Monocyte
Cd14,Monocyte
Cited1,Monocyte
Esr1,Monocyte
Kit,Monocyte
Pgr,Monocyte
Prlr,Monocyte
S100a6,Monocyte
Cited1,Hormone Sensing Differentiated Cell
Esr1,Hormone Sensing Differentiated Cell
Pgr,Hormone Sensing Differentiated Cell
Prlr,Hormone Sensing Differentiated Cell
S100a6,Hormone Sensing Differentiated Cell
Aldh1a3,Monocyte
Cd14,Monocyte
Kit,Monocyte
Csn2,Alveolar
Glycam1,Alveolar
Lalba,Alveolar
Wap,Alveolar
Aldh1a3,Monocyte
Cd14,Monocyte
Csn2,Monocyte
Glycam1,Monocyte
Kit,Monocyte
Lalba,Monocyte
Wap,Monocyte
Acta2,Basal Cell
Etv5,Basal Cell
Krt14,Basal Cell
Krt4,Basal Cell
Pdpn,Basal Cell
Acta2,Epithelial Cell
Krt14,Epithelial Cell
Krt4,Epithelial Cell
Oxtr,Epithelial Cell
Gng11,Basal Cell
Igfbp4,Basal Cell
Procr,Basal Cell
Zeb2,Basal Cell
Prlr,Epithelial Cell
Fxyd2,Epithelial Cell
Wfdc2,Epithelial Cell
Krt19,Epithelial Cell
Glul,Epithelial Cell
Cd164,Epithelial Cell
Krt18,Epithelial Cell
Krt8,Epithelial Cell
Tmed3,Epithelial Cell
Cd9,Epithelial Cell
Cd24a,Epithelial Cell
Ctsk,Fibroblast
Lum,Fibroblast
Mmp2,Fibroblast
Col1a2,Fibroblast
Col3a1,Fibroblast
Col1a1,Fibroblast
Aebp1,Fibroblast
Serpinf1,Fibroblast
Igfbp7,Fibroblast
Apod,Fibroblast
Lpl,Fibroblast
Ogn,Muscle Cell
Igfbp6,Muscle Cell
Ly6c1,Muscle Cell
Fstl1,Muscle Cell
Serping1,Muscle Cell
Timp2,Muscle Cell
Col3a1,Muscle Cell
Col1a2,Muscle Cell
Csn1s1,Alveolar
Csn2,Alveolar
Fxyd3,Alveolar
Hp,Alveolar
Krt18,Alveolar
Krt8,Alveolar
Igfbp5,Alveolar
Clu,Alveolar
Wfdc18,Alveolar
Mgst1,Alveolar
Tyrobp,Monocyte
Fcer1g,Monocyte
H2-Eb1,Monocyte
Lsp1,Monocyte
Cpa3,Mast Cell
Mrgprb1,Mast Cell
Tpsb2,Mast Cell
