cellMarker,shortname
CD27,T Cell
CD28,T Cell
CD3D,T Cell
CD3E,T Cell
CD3G,T Cell
CD4,T Cell
CTLA4,T Cell
FOXP3,T Cell
IL2RA,T Cell
CD4,T Cell
CD8A,T Cell
CD8B,T Cell
CD4,T Cell
CTLA4,T Cell
FOXP3,T Cell
IL2RA,T Cell
BLNK,B Cell
CD19,B Cell
CD79A,B Cell
CD79B,B Cell
MS4A1,B Cell
CD14,Monocyte
CD163,Monocyte
CD68,Monocyte
CSF1R,Monocyte
FCGR3A,Monocyte
CLEC4C,Monocyte
IL3RA,Monocyte
NRP1,Monocyte
FCGR3A,Natural Killer Cell
FCGR3B,Natural Killer Cell
KLRB1,Natural Killer Cell
KLRC1,Natural Killer Cell
KLRD1,Natural Killer Cell
KLRF1,Natural Killer Cell
KLRK1,Natural Killer Cell
NCAM1,Natural Killer Cell
CDH5,Endothelial Cell
SELE,Endothelial Cell
VWF,Endothelial Cell
COL1A1,Fibroblast
COL3A1,Fibroblast
FAP,Fibroblast
THY1,Fibroblast
MITF,Cancer Cell
MLANA,Cancer Cell
PMEL,Cancer Cell
TYR,Cancer Cell
EpCAM,Cancer Cell
MCAM,Cancer Cell
WFDC2,Cancer Cell
CCR7,T Cell
CD27,T Cell
CD8A,T Cell
CD8B,T Cell
CCR7,T Cell
CD27,T Cell
IL7R,T Cell
CD8A,Natural Killer Cell
CD8B,Natural Killer Cell
ZNF683,Natural Killer Cell
CD37,B Cell
CD79A,B Cell
CD8A,T Cell
CD8B,T Cell
GZMK,T Cell
CCL3,Natural Killer Cell
CD160,Natural Killer Cell
CD247,Natural Killer Cell
GNLY,Natural Killer Cell
GZMB,Natural Killer Cell
NKG7,Natural Killer Cell
CD14,Monocyte
CD16,Monocyte
CD16,Monocyte
CD68,Monocyte
S100A12,Monocyte
CCR10,T Cell
CD25,T Cell
CD52,T Cell
CMTM7,T Cell
FOXP3,T Cell
CD1C,Monocyte
CST3,Monocyte
FCER1A,Monocyte
PF4,Monocyte
PLA2G12A,Monocyte
PPBP,Monocyte
ID2,Natural Killer Cell
CD123,Monocyte
GZMB,Monocyte
ABLIM1,T Cell
ACTN1,T Cell
AIF1,T Cell
APBA2,T Cell
APEX1,T Cell
ARHGAP45,T Cell
ARHGEF18,T Cell
ATM,T Cell
BACH2,T Cell
BEX4,T Cell
C1orf162,T Cell
CA6,T Cell
CAMK4,T Cell
CCR7,T Cell
CD248,T Cell
CD55,T Cell
CEP68,T Cell
COQ8A,T Cell
DGKA,T Cell
EEF2,T Cell
EIF3E,T Cell
EIF3L,T Cell
EPHX2,T Cell
EXOSC8,T Cell
FAM102A,T Cell
FAM117B,T Cell
FKBP5,T Cell
FOXP1,T Cell
GAS5,T Cell
GCSAM,T Cell
GIMAP2,T Cell
GPR155,T Cell
GPR183,T Cell
IGF1R,T Cell
ITFG2,T Cell
LDHB,T Cell
LDLRAP1,T Cell
LEF1,T Cell
LEF1-AS1,T Cell
LINC01550,T Cell
LMO7,T Cell
LRRC75A,T Cell
LRRN3,T Cell
MAL,T Cell
MAML2,T Cell
MLXIP,T Cell
MYC,T Cell
NDFIP1,T Cell
NELL2,T Cell
NOG,T Cell
NOSIP,T Cell
NPAT,T Cell
NPM1,T Cell
NT5E,T Cell
OXNAD1,T Cell
PASK,T Cell
PDE3B,T Cell
PDK1,T Cell
PIK3IP1,T Cell
PLEKHB1,T Cell
PRKCQ-AS1,T Cell
PSIP1,T Cell
R3HDM4,T Cell
RACK1,T Cell
RASGRP2,T Cell
RCAN3,T Cell
RIC3,T Cell
RPS8,T Cell
SCML4,T Cell
SELL,T Cell
SERINC5,T Cell
SGSM3,T Cell
SH3YL1,T Cell
SMAP2,T Cell
SNED1,T Cell
SNURF,T Cell
SPINT2,T Cell
SPTBN1,T Cell
STMN3,T Cell
TCF7,T Cell
THAP7,T Cell
THEM4,T Cell
TMEM123,T Cell
TMEM204,T Cell
TMEM63A,T Cell
TNFSF8,T Cell
TOMM7,T Cell
TPCN1,T Cell
TRABD2A,T Cell
TRAP1,T Cell
TRMT1,T Cell
TXK,T Cell
UBQLN2,T Cell
VIPR1,T Cell
WDR43,T Cell
ZNF101,T Cell
ADAM8,T Cell
ADGRG1,T Cell
ADRB2,T Cell
AGTPBP1,T Cell
AHNAK,T Cell
ARHGAP25,T Cell
ARL4C,T Cell
BIN2,T Cell
C12orf75,T Cell
C1orf21,T Cell
