cellMarker,shortname
ARX,Alpha Cell
LDB2,Alpha Cell
CRYBA2,Alpha Cell
FEV,Alpha Cell
GBA,Alpha Cell
HMGB3,Alpha Cell
TM4SF4,Alpha Cell
IRX2,Alpha Cell
KLHL41,Alpha Cell
LOXL4,Alpha Cell
MAFB,Alpha Cell
PTGER3,Alpha Cell
PGR,Alpha Cell
PLCE1,Alpha Cell
RFX6,Alpha Cell
RGPD4,Alpha Cell
SMARCA1,Alpha Cell
BMP5,Beta Cell
CDKN1C,Beta Cell
TFCP2L1,Beta Cell
DLK1,Beta Cell
NPTX2,Beta Cell
MZB1,Beta Cell
PDX1,Beta Cell
PFKFB2,Beta Cell
PIR,Beta Cell
SIX2,Beta Cell
SIX3,Beta Cell
SMAD9,Beta Cell
SYT13,Beta Cell
TGFBR3,Beta Cell
AATF,Delta Cell
EHF,Delta Cell
ETV1,Delta Cell
GABRG2,Delta Cell
ERBB4,Delta Cell
ISL1,Delta Cell
LCORL,Delta Cell
PSIP1,Delta Cell
LEPR,Delta Cell
PCSK1,Delta Cell
PDLIM4,Delta Cell
POU3F1,Delta Cell
RBP4,Delta Cell
PRG4,Delta Cell
RGS2,Delta Cell
FRZB,Delta Cell
BHLHE41,Delta Cell
AQP3,PP Cell
CHN2,PP Cell
ARX,PP Cell
ID2,PP Cell
ID4,PP Cell
CARTPT,PP Cell
EGR3,PP Cell
ENTPD2,PP Cell
ETV1,PP Cell
MEIS1,PP Cell
MEIS2,PP Cell
PAX6,PP Cell
PTGFR,PP Cell
LMO3,PP Cell
SERTM1,PP Cell
SLITRK6,PP Cell
THSD7A,PP Cell
ZNF506,PP Cell
AADAC,Acinar Cell
AKR1B10,Acinar Cell
AKR1C1,Acinar Cell
AKR1C2,Acinar Cell
AKR1C3,Acinar Cell
AKR7A3,Acinar Cell
ALB,Acinar Cell
ALDOB,Acinar Cell
AMY2A,Acinar Cell
AMY2B,Acinar Cell
AMYP1,Acinar Cell
ANPEP,Acinar Cell
AQP8,Acinar Cell
AZGP1,Acinar Cell
BCAT1,Acinar Cell
C15ORF48,Acinar Cell
C4B,Acinar Cell
CA12,Acinar Cell
CBS,Acinar Cell
CEL,Acinar Cell
CELA2A,Acinar Cell
CELA3A,Acinar Cell
CELA3B,Acinar Cell
CLPS,Acinar Cell
CPA1,Acinar Cell
CPA2,Acinar Cell
CPB1,Acinar Cell
CTRB1,Acinar Cell
CTRB2,Acinar Cell
CTRC,Acinar Cell
CTRL,Acinar Cell
CUZD1,Acinar Cell
CXCL17,Acinar Cell
DPEP1,Acinar Cell
DUOX2,Acinar Cell
DUOXA2,Acinar Cell
ECE2,Acinar Cell
EFHD2,Acinar Cell
ERP27,Acinar Cell
FGL1,Acinar Cell
GALNT7,Acinar Cell
GNL3,Acinar Cell
GP2,Acinar Cell
GPT2,Acinar Cell
GSTA1,Acinar Cell
GSTA2,Acinar Cell
HAMP,Acinar Cell
IL32,Acinar Cell
KCTD14,Acinar Cell
KLK1,Acinar Cell
LGALS2,Acinar Cell
LYZ,Acinar Cell
MAT1A,Acinar Cell
MGST1,Acinar Cell
MUC1,Acinar Cell
NFKBIA,Acinar Cell
NUPR1,Acinar Cell
PDIA2,Acinar Cell
PLA2G1B,Acinar Cell
PLTP,Acinar Cell
PNLIP,Acinar Cell
PNLIPRP1,Acinar Cell
PNLIPRP2,Acinar Cell
PPIF,Acinar Cell
PRSS1,Acinar Cell
PRSS2,Acinar Cell
PRSS3,Acinar Cell
PRSS3P2,Acinar Cell
PSAT1,Acinar Cell
PTGR1,Acinar Cell
RARRES2,Acinar Cell
REG1A,Acinar Cell
REG1B,Acinar Cell
REG3A,Acinar Cell
REG3G,Acinar Cell
RNASE1,Acinar Cell
SDC4,Acinar Cell
SERPINA4,Acinar Cell
SERPINI2,Acinar Cell
SGK1,Acinar Cell
SLC25A37,Acinar Cell
SLC38A5,Acinar Cell
SLC39A5,Acinar Cell
SLC43A1,Acinar Cell
SOD2,Acinar Cell
SPINK1,Acinar Cell
SYCN,Acinar Cell
TIFA,Acinar Cell
TMEM97,Acinar Cell
TMPRSS2,Acinar Cell
TPD52L1,Acinar Cell
TPST2,Acinar Cell
TRIB2,Acinar Cell
UGDH,Acinar Cell
YBX3,Acinar Cell
ZDHHC9,Acinar Cell
ADORA2A,Alpha Cell
ARRDC4,Alpha Cell
ARX,Alpha Cell
ASPH,Alpha Cell
ASXL3,Alpha Cell
ATG7,Alpha Cell
ATL2,Alpha Cell
BAZ2B,Alpha Cell
BSCL2,Alpha Cell
C11ORF24,Alpha Cell
C21ORF58,Alpha Cell
CAMK2G,Alpha Cell
CD36,Alpha Cell
CDS2,Alpha Cell
CERCAM,Alpha Cell
CLU,Alpha Cell
DPP4,Alpha Cell
EGFEM1P,Alpha Cell
EGFL7,Alpha Cell
ELL2,Alpha Cell
EPG5,Alpha Cell
EPHX2,Alpha Cell
ETFDH,Alpha Cell
F10,Alpha Cell
FADS2,Alpha Cell
FAM110B,Alpha Cell
FAP,Alpha Cell
FGF12,Alpha Cell
FSTL5,Alpha Cell
FXYD5,Alpha Cell
GADD45G,Alpha Cell
GC,Alpha Cell
GCG,Alpha Cell
GLS,Alpha Cell
GPR119,Alpha Cell
GRIA3,Alpha Cell
HIGD1A,Alpha Cell
HMGB2,Alpha Cell
HMGB3,Alpha Cell
HNRNPA3,Alpha Cell
HPS1,Alpha Cell
HSD17B14,Alpha Cell
HTR1F,Alpha Cell
IRX2,Alpha Cell
ITPK1,Alpha Cell
KCNMA1,Alpha Cell
KL,Alpha Cell
KLHL41,Alpha Cell
KPNA6,Alpha Cell
LOXL4,Alpha Cell
MBOAT2,Alpha Cell
MCOLN3,Alpha Cell
MLLT11,Alpha Cell
MRC1,Alpha Cell
MYBPHL,Alpha Cell
NAA20,Alpha Cell
OGT,Alpha Cell
PALLD,Alpha Cell
PDE4DIP,Alpha Cell
PDZK1,Alpha Cell
PLCE1,Alpha Cell
PLOD2,Alpha Cell
PMM1,Alpha Cell
PNISR,Alpha Cell
POPDC3,Alpha Cell
PRKCE,Alpha Cell
PTPN2,Alpha Cell
RAB3C,Alpha Cell
RSAD2,Alpha Cell
SETD2,Alpha Cell
SGCZ,Alpha Cell
SLC38A4,Alpha Cell
SORT1,Alpha Cell
SPATC1L,Alpha Cell
SPOCK3,Alpha Cell
SRBD1,Alpha Cell
SREK1,Alpha Cell
STARD3,Alpha Cell
TBC1D30,Alpha Cell
TMCO3,Alpha Cell
TMEM236,Alpha Cell
TTC39A,Alpha Cell
TTR,Alpha Cell
UBQLN1,Alpha Cell
UQCC1,Alpha Cell
VGF,Alpha Cell
WDR37,Alpha Cell
YIPF2,Alpha Cell
ABI2,Beta Cell
ADCYAP1,Beta Cell
ALCAM,Beta Cell
ALOX5,Beta Cell
AP3B1,Beta Cell
APCDD1L,Beta Cell
APLP2,Beta Cell
ATP2A3,Beta Cell
BMP5,Beta Cell
C1ORF127,Beta Cell
CADM1,Beta Cell
CAPN13,Beta Cell
CASR,Beta Cell
CD72,Beta Cell
CDH18,Beta Cell
CDK5R1,Beta Cell
CGRRF1,Beta Cell
CNTN4,Beta Cell
CSDE1,Beta Cell
CTSV,Beta Cell
CYP2U1,Beta Cell
CYYR1,Beta Cell
DLK1,Beta Cell
EDARADD,Beta Cell
EFCAB14,Beta Cell
ELMO1,Beta Cell
ELOVL4,Beta Cell
ENPP4,Beta Cell
ENTPD3,Beta Cell
FAM222A,Beta Cell
FAM76A,Beta Cell
FFAR1,Beta Cell
G6PC2,Beta Cell
GCC1,Beta Cell
GNAS,Beta Cell
GPM6A,Beta Cell
GPSM1,Beta Cell
GREM1,Beta Cell
GUSB,Beta Cell
GYG1,Beta Cell
HSPD1,Beta Cell
IAPP,Beta Cell
IGF2,Beta Cell
INS,Beta Cell
KLHDC8A,Beta Cell
LGMN,Beta Cell
LRRTM3,Beta Cell
MAFA,Beta Cell
MRAP2,Beta Cell
MTSS1,Beta Cell
MXRA7,Beta Cell
NECAB1,Beta Cell
NKX6-1,Beta Cell
NMRK1,Beta Cell
NPTX2,Beta Cell
NTPCR,Beta Cell
OXLD1,Beta Cell
PCSK1,Beta Cell
PFKFB2,Beta Cell
PIGV,Beta Cell
PIK3IP1,Beta Cell
RAPH1,Beta Cell
RASA4,Beta Cell
RASA4B,Beta Cell
RASGRF1,Beta Cell
RBP4,Beta Cell
RGS16,Beta Cell
RNF130,Beta Cell
ROBO2,Beta Cell
RRAGB,Beta Cell
RRNAD1,Beta Cell
SALL2,Beta Cell
SCD5,Beta Cell
SEMA5A,Beta Cell
SFTPA1,Beta Cell
SGCB,Beta Cell
SGK3,Beta Cell
SIAH1,Beta Cell
SLC25A34,Beta Cell
SLC30A8,Beta Cell
SLC43A2,Beta Cell
SOCS2,Beta Cell
SORL1,Beta Cell
SRD5A1,Beta Cell
SUSD4,Beta Cell
SYT13,Beta Cell
TBCC,Beta Cell
TDRP,Beta Cell
TERF2IP,Beta Cell
TMEM37,Beta Cell
TSPAN1,Beta Cell
VAT1L,Beta Cell
WNT4,Beta Cell
WSCD2,Beta Cell
ZNF441,Beta Cell
ZNF776,Beta Cell
SST,Delta Cell
INS,Beta Cell
PROM1,Ductal Cell
THY1,Mesenchymal Cell
PRSS1,Acinar Cell
GCG,Alpha Cell
PPY,PP Cell
NIBAN1,Acinar Cell
AKAIN1,Alpha Cell
SMIM24,Alpha Cell
ABHD18,Alpha Cell
SLF2,Alpha Cell
TENT5A,Alpha Cell
LRATD1,Alpha Cell
MRC1,Alpha Cell
SNU13,Alpha Cell
PLAAT3,Alpha Cell
URB1-AS1,Beta Cell
ERO1B,Beta Cell
